type,time,exchange,competitor,odds,backer,layer,stake
Trade,18.851621866226196,0,1,1.1,2,16,15
Trade,19.201634883880615,0,1,3.40096678073536,15,2,15
Trade,19.278106927871704,0,1,1.1,2,15,15
Trade,19.631932020187378,0,1,1.1,0,16,15
Trade,19.762506008148193,0,1,2.2558736043983707,0,2,15
Trade,19.925034999847412,0,1,3.2558736043983707,16,0,15
Trade,19.98134207725525,0,1,1.1,0,15,15
Trade,20.199373960494995,0,1,3.2896052248614733,16,2,15
Trade,20.217895030975342,0,1,1.1,2,15,15
Trade,21.752280950546265,0,1,2.3105736634128453,2,0,15
Trade,21.7650089263916,0,1,2.3105736634128453,0,16,15
Trade,21.93475890159607,0,1,3.3105736634128453,16,0,15
Trade,21.953590154647827,0,1,2.3105736634128453,0,2,15
Trade,22.766229152679443,0,1,1.1,2,15,15
Trade,22.822227954864502,0,1,1.1,2,16,15
Trade,29.70292592048645,0,1,1.1,2,12,15
Trade,31.01008176803589,0,1,1.2000000000000002,2,13,15
Trade,31.375603914260864,0,1,1.1,0,14,15
