type,time,exchange,competitor,odds,agentID,decision,stake
Trade,14.934097051620483,0,0,1.1,10,backer,15
Trade,14.934097051620483,0,0,1.1,1,layer,15
Trade,15.265015840530396,0,0,1.1,38,backer,15
Trade,15.265015840530396,0,0,1.1,4,layer,15
Trade,15.365293979644775,0,0,1.1,36,backer,15
Trade,15.365293979644775,0,0,1.1,1,layer,15
Trade,15.42328691482544,0,0,1.1,32,backer,15
Trade,15.42328691482544,0,0,1.1,1,layer,15
Trade,15.479265213012695,0,0,1.1,15,backer,15
Trade,15.479265213012695,0,0,1.1,1,layer,15
Trade,15.607644081115723,0,0,1.1,14,backer,15
Trade,15.607644081115723,0,0,1.1,4,layer,15
Trade,15.641515016555786,0,0,1.1,34,backer,15
Trade,15.641515016555786,0,0,1.1,4,layer,15
Trade,15.712021112442017,0,0,1.1,37,backer,15
Trade,15.712021112442017,0,0,1.1,3,layer,15
Trade,15.737825155258179,0,0,1.1,39,backer,15
Trade,15.737825155258179,0,0,1.1,3,layer,15
Trade,15.979231119155884,0,0,1.1,17,backer,15
Trade,15.979231119155884,0,0,1.1,1,layer,15
Trade,16.061177968978882,0,0,1.1,33,backer,15
Trade,16.061177968978882,0,0,1.1,28,layer,15
Trade,16.06630301475525,0,0,1.1,30,backer,15
Trade,16.06630301475525,0,0,1.1,26,layer,15
Trade,16.088243007659912,0,0,1.1,19,backer,15
Trade,16.088243007659912,0,0,1.1,1,layer,15
Trade,16.132653951644897,0,0,1.1,11,backer,15
Trade,16.132653951644897,0,0,1.1,3,layer,15
Trade,16.17764115333557,0,0,1.1,12,backer,15
Trade,16.17764115333557,0,0,1.1,3,layer,15
Trade,16.31113314628601,0,0,1.1,10,backer,15
Trade,16.31113314628601,0,0,1.1,3,layer,15
Trade,16.34642004966736,0,0,1.1,15,backer,15
Trade,16.34642004966736,0,0,1.1,4,layer,15
Trade,16.387349128723145,0,0,1.1,14,backer,15
Trade,16.387349128723145,0,0,1.1,3,layer,15
Trade,16.612616062164307,0,0,1.1,17,backer,15
Trade,16.612616062164307,0,0,1.1,4,layer,15
Trade,16.728657960891724,0,0,2.1,12,backer,15
Trade,16.728657960891724,0,0,2.1,3,layer,15
Trade,17.1802499294281,0,0,1.1,13,backer,15
Trade,17.1802499294281,0,0,1.1,3,layer,15
Trade,17.346675157546997,0,0,1.1,19,backer,15
Trade,17.346675157546997,0,0,1.1,1,layer,15
Trade,17.44655704498291,0,0,1.1,18,backer,15
Trade,17.44655704498291,0,0,1.1,3,layer,15
Trade,17.503041982650757,0,0,1.1,11,backer,15
Trade,17.503041982650757,0,0,1.1,1,layer,15
Trade,17.68794298171997,0,0,1.1,15,backer,15
Trade,17.68794298171997,0,0,1.1,4,layer,15
Trade,18.000694036483765,0,0,1.1,10,backer,15
Trade,18.000694036483765,0,0,1.1,4,layer,15
Trade,18.25294303894043,0,0,1.1,16,backer,15
Trade,18.25294303894043,0,0,1.1,3,layer,15
Trade,18.35428786277771,0,0,1.1,14,backer,15
Trade,18.35428786277771,0,0,1.1,1,layer,15
Trade,18.66604995727539,0,0,1.1,17,backer,15
Trade,18.66604995727539,0,0,1.1,3,layer,15
Trade,18.739758014678955,0,0,1.1,12,backer,15
Trade,18.739758014678955,0,0,1.1,4,layer,15
Trade,18.872143030166626,0,0,1.1,37,backer,15
Trade,18.872143030166626,0,0,1.1,3,layer,15
Trade,18.992542028427124,0,0,1.1,38,backer,15
