type,competitorID,time,exchange,odds,agentID,stake,distance,rank,balance,decision
Trade,1,24.93105673789978,0,5.041587501124148,8,15,231.02542533689615,4,99999715,backer
Trade,1,24.93105673789978,0,5.041587501124148,4,15,231.02542533689615,4,99999805,layer
Trade,1,25.72528100013733,0,5.041587501124148,4,15,240.10966318129985,4,99999805,backer
Trade,1,25.72528100013733,0,5.041587501124148,8,15,240.10966318129985,4,99999715,layer
Trade,1,25.784413814544678,0,7.041587501124148,4,15,240.10966318129985,4,99999805,backer
Trade,1,25.784413814544678,0,7.041587501124148,8,15,240.10966318129985,4,99999715,layer
Trade,1,31.116353034973145,0,6.141587501124148,8,15,302.78870024418245,4,99999715,backer
Trade,1,31.116353034973145,0,6.141587501124148,57,15,302.78870024418245,4,100000416.15263605,layer
Trade,1,31.18578290939331,0,7.041587501124148,4,15,302.78870024418245,4,99999805,backer
Trade,1,31.18578290939331,0,7.041587501124148,56,15,302.78870024418245,4,100000301.07631803,layer
Trade,1,32.20066475868225,0,7.141587501124148,8,15,316.3959453917611,4,99999715,backer
Trade,1,32.20066475868225,0,7.141587501124148,59,15,316.3959453917611,4,100000363.11447704,layer
Trade,1,32.58149194717407,0,6.2415875011241475,4,15,327.9782457842429,4,99999805,backer
Trade,1,32.58149194717407,0,6.2415875011241475,55,15,327.9782457842429,4,100000274.94883671,layer
Trade,1,32.587270975112915,0,6.2415875011241475,8,15,327.9782457842429,4,99999715,backer
Trade,1,32.587270975112915,0,6.2415875011241475,59,15,327.9782457842429,4,100000363.11447704,layer
Trade,1,33.825469970703125,0,5.141587501124148,8,15,341.7473470188941,4,99999715,backer
Trade,1,33.825469970703125,0,5.141587501124148,58,15,341.7473470188941,4,100000446.26711309,layer
Trade,1,38.014771938323975,0,5.26292791939239,8,15,393.32790828382286,4,99999715,backer
Trade,1,38.014771938323975,0,5.26292791939239,55,15,393.32790828382286,4,100000274.94883671,layer
Trade,1,38.01752710342407,0,5.36292791939239,8,15,393.32790828382286,4,99999715,backer
Trade,1,38.01752710342407,0,5.36292791939239,57,15,393.32790828382286,4,100000416.15263605,layer
Trade,1,38.019195795059204,0,5.36292791939239,4,15,393.32790828382286,4,99999805,backer
Trade,1,38.019195795059204,0,5.36292791939239,59,15,393.32790828382286,4,100000363.11447704,layer
Trade,1,38.066383838653564,0,4.26292791939239,4,15,393.32790828382286,4,99999805,backer
Trade,1,38.066383838653564,0,4.26292791939239,55,15,393.32790828382286,4,100000274.94883671,layer
Trade,1,38.06728982925415,0,5.26292791939239,8,15,393.32790828382286,4,99999715,backer
Trade,1,38.06728982925415,0,5.26292791939239,59,15,393.32790828382286,4,100000363.11447704,layer
Trade,1,38.10372877120972,0,4.26292791939239,8,15,393.32790828382286,4,99999715,backer
Trade,1,38.10372877120972,0,4.26292791939239,4,15,393.32790828382286,4,99999805,layer
Trade,1,38.12777280807495,0,4.26292791939239,4,15,393.32790828382286,4,99999805,backer
Trade,1,38.12777280807495,0,4.26292791939239,56,15,393.32790828382286,4,100000301.07631803,layer
Trade,1,38.16717886924744,0,4.26292791939239,4,15,393.32790828382286,4,99999805,backer
Trade,1,38.16717886924744,0,4.26292791939239,8,15,393.32790828382286,4,99999715,layer
Trade,1,38.16985869407654,0,6.601066253719159,50,15,393.32790828382286,4,100000075,backer
Trade,1,38.16985869407654,0,6.601066253719159,4,15,393.32790828382286,4,99999805,layer
Trade,1,38.18532085418701,0,7.141587501124148,8,15,393.32790828382286,4,99999715,backer
Trade,1,38.18532085418701,0,7.141587501124148,4,15,393.32790828382286,4,99999805,layer
Trade,1,38.190804958343506,0,7.141587501124148,4,15,393.32790828382286,4,99999805,backer
Trade,1,38.190804958343506,0,7.141587501124148,8,15,393.32790828382286,4,99999715,layer
Trade,1,38.19188690185547,0,7.141587501124148,8,15,393.32790828382286,4,99999715,backer
Trade,1,38.19188690185547,0,7.141587501124148,4,15,393.32790828382286,4,99999805,layer
Trade,1,38.26004409790039,0,4.26292791939239,8,15,393.32790828382286,4,99999715,backer
Trade,1,38.26004409790039,0,4.26292791939239,8,15,393.32790828382286,4,99999715,layer
Trade,1,38.26296782493591,0,4.26292791939239,8,15,393.32790828382286,4,99999715,backer
Trade,1,38.26296782493591,0,4.26292791939239,4,15,393.32790828382286,4,99999805,layer
Trade,1,38.33100485801697,0,6.2415875011241475,8,15,393.32790828382286,4,99999715,backer
Trade,1,38.33100485801697,0,6.2415875011241475,8,15,393.32790828382286,4,99999715,layer
Trade,1,38.33132481575012,0,6.2415875011241475,4,15,393.32790828382286,4,99999805,backer
Trade,1,38.33132481575012,0,6.2415875011241475,57,15,393.32790828382286,4,100000416.15263605,layer
Trade,1,38.3352997303009,0,5.141587501124148,4,15,393.32790828382286,4,99999805,backer
Trade,1,38.3352997303009,0,5.141587501124148,8,15,393.32790828382286,4,99999715,layer
Trade,1,38.3363299369812,0,8.598310329010117,4,15,393.32790828382286,4,99999805,backer
Trade,1,38.3363299369812,0,8.598310329010117,4,15,393.32790828382286,4,99999805,layer
Trade,1,38.36557078361511,0,5.141587501124148,4,15,393.32790828382286,4,99999805,backer
Trade,1,38.36557078361511,0,5.141587501124148,4,15,393.32790828382286,4,99999805,layer
Trade,1,38.36852979660034,0,5.6011965151289544,4,15,393.32790828382286,4,99999805,backer
Trade,1,38.36852979660034,0,5.6011965151289544,4,15,393.32790828382286,4,99999805,layer
Trade,1,38.36979103088379,0,5.141587501124148,4,15,393.32790828382286,4,99999805,backer
Trade,1,38.36979103088379,0,5.141587501124148,8,15,393.32790828382286,4,99999715,layer
Trade,1,38.37185883522034,0,5.141587501124148,8,15,393.32790828382286,4,99999715,backer
Trade,1,38.37185883522034,0,5.141587501124148,56,15,393.32790828382286,4,100000301.07631803,layer
Trade,1,38.388643741607666,0,5.141587501124148,8,15,393.32790828382286,4,99999715,backer
Trade,1,38.388643741607666,0,5.141587501124148,4,15,393.32790828382286,4,99999805,layer
Trade,1,38.389999866485596,0,5.601066253719159,4,15,393.32790828382286,4,99999805,backer
Trade,1,38.389999866485596,0,5.601066253719159,8,15,393.32790828382286,4,99999715,layer
Trade,1,38.391108751297,0,5.2415875011241475,4,15,393.32790828382286,4,99999805,backer
Trade,1,38.391108751297,0,5.2415875011241475,58,15,393.32790828382286,4,100000446.26711309,layer
Trade,1,38.392239809036255,0,7.601066253719159,8,15,393.32790828382286,4,99999715,backer
Trade,1,38.392239809036255,0,7.601066253719159,4,15,393.32790828382286,4,99999805,layer
Trade,1,38.397740840911865,0,7.601066253719159,4,15,393.32790828382286,4,99999805,backer
Trade,1,38.397740840911865,0,7.601066253719159,8,15,393.32790828382286,4,99999715,layer
Trade,1,38.40037298202515,0,7.601066253719159,4,15,393.32790828382286,4,99999805,backer
Trade,1,38.40037298202515,0,7.601066253719159,8,15,393.32790828382286,4,99999715,layer
Trade,1,38.407320737838745,0,7.601066253719159,4,15,393.32790828382286,4,99999805,backer
Trade,1,38.407320737838745,0,7.601066253719159,8,15,393.32790828382286,4,99999715,layer
Trade,1,38.42471694946289,0,7.601066253719159,4,15,393.32790828382286,4,99999805,backer
Trade,1,38.42471694946289,0,7.601066253719159,8,15,393.32790828382286,4,99999715,layer
Trade,1,38.436004877090454,0,7.601066253719159,8,15,393.32790828382286,4,99999715,backer
Trade,1,38.436004877090454,0,7.601066253719159,4,15,393.32790828382286,4,99999805,layer
Trade,1,38.442638874053955,0,5.601066253719159,4,15,393.32790828382286,4,99999805,backer
Trade,1,38.442638874053955,0,5.601066253719159,8,15,393.32790828382286,4,99999715,layer
Trade,1,38.443012714385986,0,5.2415875011241475,4,15,393.32790828382286,4,99999805,backer
Trade,1,38.443012714385986,0,5.2415875011241475,55,15,393.32790828382286,4,100000274.94883671,layer
Trade,1,38.44433283805847,0,5.2415875011241475,8,15,393.32790828382286,4,99999715,backer
Trade,1,38.44433283805847,0,5.2415875011241475,59,15,393.32790828382286,4,100000363.11447704,layer
Trade,1,38.465261697769165,0,7.601066253719159,8,15,393.32790828382286,4,99999715,backer
